Learning Rate,Embedding Dimension,Feed Forward Dimension,Heads,Sequence Length,Loss,Train Time (seconds)
0.001,768,1024,4,256,7.857550621,5606.483364
0.0005,768,1024,4,256,7.872234344,5983.454437
0.0001,768,1024,4,256,7.943087101,5398.657301
0.001,1024,1024,4,256,7.837889194,6037.514343
0.0005,1024,1024,4,256,7.854422092,6411.619812
0.0001,1024,1024,4,256,7.908992767,6169.857955
0.001,1280,1024,4,256,7.835573673,6686.993601
0.0005,1280,1024,4,256,7.845114708,7407.514425
0.0001,1280,1024,4,256,7.893876553,6830.858292
0.001,768,2048,4,256,7.832186222,5913.171911
0.0005,768,2048,4,256,7.833316803,6181.62339
0.0001,768,2048,4,256,7.901867867,5802.417175
0.001,1024,2048,4,256,7.812472343,6658.242796
0.0005,1024,2048,4,256,7.825346947,6803.719594
0.0001,1024,2048,4,256,7.866960049,6567.365985
0.001,1280,2048,4,256,7.804620266,7507.788374
0.0005,1280,2048,4,256,7.807448387,7189.5263
0.001,768,1024,8,256,7.864552498,5466.464783
0.0005,768,1024,8,256,7.876906395,6012.32403
0.0001,768,1024,8,256,7.945557594,5466.906403
0.001,1024,1024,8,256,7.853372097,6241.190239
0.0005,1024,1024,8,256,7.859082699,6326.627116
0.0001,1024,1024,8,256,7.92050457,6729.549394
0.001,1280,1024,8,256,7.846597195,7246.879532
0.0005,1280,1024,8,256,7.849176407,7065.404285
0.001,768,2048,8,256,7.829642773,5853.984144
0.0005,768,2048,8,256,7.840649605,5889.083871
0.0001,1280,1024,8,256,7.899116039,7101.549179
0.0001,768,2048,8,256,7.90500927,6145.506451
0.001,1024,2048,8,256,7.822517872,6848.786027
0.0005,1024,2048,8,256,7.824102402,6500.021185
0.0001,1024,2048,8,256,7.879077435,6618.690663
0.001,1280,2048,8,256,7.810114384,7349.453231
0.0005,1280,2048,8,256,7.813088417,7418.375657
0.0005,768,1024,4,512,7.872233391,5386.625965
0.001,768,1024,4,512,7.857552052,5492.963457
0.0001,768,1024,4,512,7.943088055,5755.66126
0.001,1024,1024,4,512,7.837889194,6124.536213
0.0005,1024,1024,4,512,7.854422092,6184.777014
0.0001,1024,1024,4,512,7.90899229,6072.402108
0.0005,1280,1024,4,512,7.845114708,6828.34691
0.001,1280,1024,4,512,7.835573196,7055.31568
0.001,768,2048,4,512,7.832186222,5813.689044
0.0001,1280,1024,4,512,7.893876076,7187.268791
0.0005,768,2048,4,512,7.833316803,5703.510517
0.0001,768,2048,4,512,7.901867867,5929.780865
0.001,1024,2048,4,512,7.812472343,6586.827766
0.0001,1024,2048,4,512,7.866960526,6650.253608
0.0005,1280,2048,4,512,7.807448387,7301.946068
0.001,768,1024,8,512,7.864552498,5463.028355
0.0005,768,1024,8,512,7.876906395,6074.091067
0.0001,768,1024,8,512,7.945557594,5456.707996
0.001,1024,1024,8,512,7.853372097,6186.493608
0.0005,1024,1024,8,512,7.859083652,6431.526221
0.0001,1024,1024,8,512,7.92050457,6436.326136
0.0005,1280,1024,8,512,7.849176407,7111.133833
0.001,1280,1024,8,512,7.846596718,7379.239793
0.0001,1280,1024,8,512,7.899115562,7042.878088
0.001,768,2048,8,512,7.82964325,5773.78409
0.0001,768,2048,8,512,7.90500927,5912.957553
0.001,1024,2048,8,512,7.822518349,6673.394014
0.0005,1024,2048,8,512,7.824101925,6939.017395
0.0001,1024,2048,8,512,7.879076958,6724.679258
0.001,1280,2048,8,512,7.810115337,7481.269125
0.0005,1280,2048,8,512,7.813088417,7288.01899
0.0001,1280,2048,8,512,7.858252525,7301.385351
